                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2107,                 1.7446,                0.82935,                0.13261,                0.33273,                0.16036,                0.09803,                 1.1413,                 6.6842,                0.82327,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.2022,                0.76083,                0.81432,                0.53573,                0.47991,                0.39245,                0.23255,                 1.2131,                 1.6493,                0.82187,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2559,                 0.7006,                0.81571,                0.79064,                0.52148,                0.56378,                0.31395,                 1.2145,                0.78875,                0.82522,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.1961,                0.65067,                0.81164,                0.57465,                0.60392,                0.51538,                0.28961,                 1.0916,                 1.2561,                0.81318,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1889,                0.64511,                0.81141,                0.79665,                0.64315,                0.69292,                0.39347,                 1.1315,                0.59351,                0.81886,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1698,                0.62611,                0.81238,                0.72043,                0.65195,                0.66945,                0.38212,                  1.148,                0.72219,                0.81909,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.0787,                0.61472,                0.80151,                0.57718,                0.54398,                0.53228,                0.29178,                 1.1538,                0.72975,                0.82173,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0666,                 0.5925,                0.80076,                 0.8946,                0.63187,                0.72599,                0.46337,                0.98393,                0.58398,                0.80766,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0369,                0.53615,                0.80158,                0.77945,                0.67622,                 0.7207,                0.46134,                0.97482,                0.52084,                0.80784,               0.001151,               0.001151,               0.001151
                     10,                 1.0714,                0.53504,                0.80007,                0.82733,                0.61814,                0.69697,                 0.4254,                 1.0295,                0.56032,                0.80678,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0399,                0.51518,                0.79833,                0.84837,                0.71923,                0.78146,                 0.4923,                0.93251,                0.45862,                0.80297,              0.0011263,              0.0011263,              0.0011263
                     12,                0.98936,                0.48443,                0.79487,                0.92035,                0.69684,                0.77648,                0.48596,                0.89893,                0.45555,                0.80151,              0.0011139,              0.0011139,              0.0011139
                     13,                  0.988,                0.48749,                0.79422,                0.83919,                0.68528,                0.76498,                0.52851,                0.86086,                0.44593,                0.79698,              0.0011015,              0.0011015,              0.0011015
                     14,                0.95049,                0.46925,                0.79267,                0.76696,                0.72401,                0.75497,                 0.4872,                0.93678,                0.45165,                0.80218,              0.0010891,              0.0010891,              0.0010891
                     15,                0.95046,                0.45956,                0.79109,                0.94259,                0.66886,                0.78162,                0.52725,                0.85571,                0.44725,                0.79665,              0.0010768,              0.0010768,              0.0010768
                     16,                0.97056,                0.47053,                0.79363,                 0.9123,                0.66256,                0.73322,                0.47799,                0.91734,                0.48091,                0.80329,              0.0010644,              0.0010644,              0.0010644
                     17,                0.95002,                0.47261,                0.79127,                0.83851,                0.69128,                0.74408,                0.49475,                0.85481,                0.45476,                0.79609,               0.001052,               0.001052,               0.001052
                     18,                0.92471,                 0.4538,                0.78831,                0.79191,                 0.5746,                0.65497,                0.37411,                 1.2364,                0.59557,                0.82498,              0.0010396,              0.0010396,              0.0010396
                     19,                0.97975,                  0.479,                0.79649,                0.88291,                0.69195,                0.75668,                0.51251,                0.88111,                0.43866,                0.79945,              0.0010273,              0.0010273,              0.0010273
                     20,                0.94484,                0.45957,                0.79177,                0.80812,                0.74037,                0.76802,                0.52173,                0.86871,                0.45408,                0.79717,              0.0010149,              0.0010149,              0.0010149
                     21,                0.91595,                0.45651,                 0.7903,                0.88338,                0.69832,                0.76657,                 0.5131,                0.89335,                0.44432,                0.79791,              0.0010025,              0.0010025,              0.0010025
                     22,                 0.9094,                0.44341,                0.78911,                0.90347,                0.70961,                0.80081,                0.53953,                0.86645,                0.43719,                0.79662,             0.00099013,             0.00099013,             0.00099013
                     23,                0.90878,                0.44734,                0.78866,                0.87641,                0.68992,                0.78462,                 0.5288,                 0.8675,                0.43878,                0.79783,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0083,                0.47093,                0.79313,                0.78205,                0.73683,                0.76155,                0.48121,                0.98737,                0.50513,                0.80526,             0.00096537,             0.00096537,             0.00096537
                     25,                0.93498,                0.44233,                0.79169,                0.95624,                0.69166,                0.79658,                0.54953,                0.81496,                0.40808,                0.79592,               0.000953,               0.000953,               0.000953
                     26,                0.88157,                0.41848,                0.78979,                0.88705,                0.76447,                0.82353,                0.55295,                0.83936,                0.41554,                0.79761,             0.00094062,             0.00094062,             0.00094062
                     27,                0.89702,                0.42857,                0.78707,                0.85257,                0.65041,                0.74709,                0.44955,                 1.1602,                 0.5102,                0.81711,             0.00092825,             0.00092825,             0.00092825
                     28,                0.95038,                0.44786,                0.79206,                0.93942,                0.70452,                 0.7804,                0.50864,                0.94491,                0.44125,                0.79968,             0.00091588,             0.00091588,             0.00091588
                     29,                0.88397,                0.42242,                0.78662,                0.86892,                0.74868,                0.79146,                0.55335,                 0.8083,                0.40751,                0.79547,              0.0009035,              0.0009035,              0.0009035
                     30,                0.84612,                0.40308,                0.78605,                 0.8387,                0.75906,                0.80056,                0.55155,                 0.8066,                 0.3887,                0.79338,             0.00089112,             0.00089112,             0.00089112
                     31,                0.87743,                0.41809,                0.78384,                0.82989,                0.74175,                0.77537,                0.53477,                0.85376,                0.44115,                0.79421,             0.00087875,             0.00087875,             0.00087875
                     32,                0.85617,                0.42309,                0.78409,                0.89829,                0.74442,                0.82452,                0.55928,                0.83035,                0.40171,                0.79723,             0.00086637,             0.00086637,             0.00086637
                     33,                0.84408,                0.41137,                0.78568,                0.92387,                0.72179,                0.79765,                0.52588,                0.84423,                 0.4314,                 0.7964,               0.000854,               0.000854,               0.000854
                     34,                0.82619,                0.40189,                 0.7872,                0.94465,                0.64228,                0.75491,                0.51565,                 0.8592,                0.43267,                 0.7964,             0.00084162,             0.00084162,             0.00084162
                     35,                0.89299,                0.42145,                0.78685,                0.92131,                0.71515,                0.78629,                0.53378,                0.84342,                0.42166,                0.79606,             0.00082925,             0.00082925,             0.00082925
                     36,                0.83302,                0.40257,                0.78296,                0.86273,                0.71775,                0.78879,                0.54077,                0.80146,                0.39645,                0.79451,             0.00081688,             0.00081688,             0.00081688
                     37,                0.83839,                0.40039,                0.78545,                0.89804,                 0.7517,                 0.8103,                0.52605,                0.87264,                0.39696,                 0.7994,              0.0008045,              0.0008045,              0.0008045
                     38,                0.83503,                0.39327,                0.78389,                0.87855,                 0.7187,                0.80768,                0.54997,                0.81307,                0.40716,                0.79357,             0.00079213,             0.00079213,             0.00079213
                     39,                0.86289,                0.40348,                0.78526,                0.87189,                0.77488,                0.82977,                0.55031,                0.84849,                0.40688,                0.79778,             0.00077975,             0.00077975,             0.00077975
